facility_address,lat,lng,street_address
3700 Morell AVE,40.06712841,-74.98925475,3700 MORRELL AVE
1213 S 12TH ST,39.93501803,-75.16354317,1213 S 12TH ST
800 E ONTARIO ST,39.99949194,-75.11425969,800 E ONTARIO ST
2051 E CUMBERLAND ST,39.98481983,-75.12691991,2051 E CUMBERLAND ST
1300 W LOUDEN ST,40.02594977,-75.14602738,1300 W LOUDON ST
127-55 W OXFORD ST,39.97506372,-75.1359624,127 W OXFORD ST
2900 W CLEARFIELD ST,40.00239888,-75.17820048,2900 W CLEARFIELD ST
1500 W ONTARIO ST,40.00489255,-75.15394167,1500 W ONTARIO ST
120 W CAMBRIA ST,39.99405386,-75.13103966,120 W CAMBRIA ST
2230 S 8TH ST,39.92101506,-75.16056941,2230 S 8TH ST
595 TOMLINSON AVE,40.11400498,-75.02473781,595 TOMLINSON RD
2944 BELGRADE ST,39.9831139,-75.11045108,2944 BELGRADE ST
1198 S 5TH ST,39.93348847,-75.15263063,1198 S 5TH ST
1900 S 3RD ST,39.92378681,-75.1508924,1900 S 3RD ST
616 N 15th ST,39.96404596,-75.16280972,616 N 15TH ST
535 SHAWMONT AVE,40.05205592,-75.23854041,535 SHAWMONT AVE
7501 WOODBINE AVE,39.97568836,-75.26699968,7501 WOODBINE AVE
1001 BYBERRY RD,40.12095168,-75.00910229,1001 BYBERRY RD
1034 S 60TH ST,39.94687436,-75.24503644,1034 S 60TH ST
1858 E WASHINGTON LN,40.06537616,-75.15979743,1858 E WASHINGTON LN
7300 RURAL LN,40.05849791,-75.19491959,7300 RURAL LN
8801 Verree RD,40.09302102,-75.05259624,8801 VERREE RD
2000 N 7TH ST,39.98246704,-75.14627714,2000 N 7TH ST
1122 CATHARINE ST,39.94024927,-75.16173597,1122 CATHARINE ST
530 E WASHINGTON LN,40.04977092,-75.17375327,530 E WASHINGTON LN
2136 W RITNER ST,39.92179041,-75.18308336,2136 RITNER ST
1801 GREEN ST,39.96507046,-75.16807737,1801 GREEN ST
550 W MASTER ST,39.97277012,-75.14570672,550 MASTER ST
4001 LAWNDALE ST,40.00821938,-75.10587875,4001 LAWNDALE ST
1701-47 W CHELTEN AVE,40.0515625,-75.1481504,
1100 E MOUNT PLEASANT AVE,40.07098795,-75.17481156,1100 E MOUNT PLEASANT AVE
400 W PORTER ST,39.91733034,-75.15479923,400 PORTER ST
5800 N 13TH ST,40.04115445,-75.14203382,5800 N 13TH ST
1700 W OLNEY AVE,40.03732696,-75.15073281,1700 W OLNEY AVE
1000 BIGLER ST,39.91282223,-75.16740321,1000 BIGLER ST
2000 WAKELING ST,40.01274092,-75.07531998,2000 WAKELING ST
4500 Griscom ST,40.01478612,-75.08683067,4500 GRISCOM ST
1400 W OLNEY AVE,40.03907544,-75.1448134,1400 W OLNEY AVE
3380 Richmond ST,39.98543572,-75.0967672,3380 RICHMOND ST
1599 WHARTON ST,39.93454539,-75.170583,1599 WHARTON ST
1100 E MT PLESANT AVE,40.07098795,-75.17481156,1100 E MOUNT PLEASANT AVE
1601 N 28th ST,39.98081603,-75.18006555,1601 N 28TH ST
1100 CATHARINE ST,39.94003314,-75.16171119,1100 CATHARINE ST
720 W Cumberland ST,39.98959039,-75.14546735,720 W CUMBERLAND ST
3001 W Berks ST,39.98579807,-75.18321305,3001 W BERKS ST
739 Schuylkill AVE,39.94505706,-75.18600643,739 SCHUYLKILL AVE
5116 Pulaski AVE,40.02480875,-75.17233198,5116 PULASKI AVE
7001 Horrocks St,40.04536772,-75.06592325,7001 HORROCKS ST
3624 Conrad St,40.01365296,-75.19126581,3624 CONRAD ST
3001 Princeton Ave,40.03894045,-75.05261303,3001 PRINCETON AVE
7000 Rural Ln,40.0586126,-75.1956056,
2817 W Glenwood Ave,39.98442589,-75.18076615,2817 W GLENWOOD AVE
140 W Logan St,40.02577288,-75.16486718,140 W LOGAN ST
5116-60 PULASKI AVE,40.02480875,-75.17233198,5116-60 PULASKI AVE
4901-57 PARRISH ST,39.96746024,-75.21958958,4901-57 PARRISH ST
2700 W DAUPHIN ST,39.99043963,-75.17699812,2700 W DAUPHIN ST
4901 Spruce St,39.9541703,-75.22026309,4901 SPRUCE ST
5300 BALTIMORE AVE,39.94735487,-75.2303645,5300 BALTIMORE AVE
3200 W LEHIGH AVE,39.99684201,-75.18364354,3200 W LEHIGH AVE
1601 LEVICK ST,40.03742435,-75.0720881,1601 LEVICK ST
725 S 5th ST,39.93955736,-75.15125006,725 S 5TH ST
3449 N Mascher ST,40.00318212,-75.13030615,3449 MASCHER ST
1655 Unity ST,40.01187203,-75.08612679,1655 UNITY ST
2230 S 8th ST,39.92101506,-75.16056941,2230 S 8TH ST
11000 BUSTLETON AVE,40.114347,-75.02337188,11000 BUSTLETON AVE
1699 Spring Garden St,39.9631197,-75.16616582,1699 SPRING GARDEN ST
1001 DEVEREAUX AVE,40.04152339,-75.08625207,1001 DEVEREAUX AVE
2331 N 4th ST,39.98668291,-75.13920059,2331 N 4TH ST
2000 BOWLER ST,40.08855626,-75.02835473,2000 BOWLER ST
6329 Battersby ST,40.03002609,-75.06222385,6329 BATTERSBY ST
1599 Wharton ST,39.93454539,-75.170583,1599 WHARTON ST
2501 S 63rd ST,39.92372831,-75.22732899,2501 S 63RD ST
2119 N 13TH ST,39.98525862,-75.15398262,2119 N 13TH ST
4700 Locust ST,39.95458127,-75.21593532,4700 LOCUST ST
1101 N 4th ST,39.96825566,-75.1430234,1101 N 4TH ST
1800 COTTMAN AVE,40.05235874,-75.06908176,1800 COTTMAN AVE
1501 S 7th ST,39.92999078,-75.15659589,1501 S 7TH ST
1835 S 9th ST,39.92590403,-75.16071053,1835 S 9TH ST
